date,amount,description,category
2024-09-02,-54.32,Trader Joe's,Groceries
2024-09-05,-12.50,Starbucks,Dining
2024-09-10,-120.00,Shell Gas,Transport
2024-09-14,-89.00,Target,Shopping
2024-09-20,-45.00,Netflix,Entertainment
2024-10-01,-1200.00,Rent,Bills
2024-10-03,-62.40,Whole Foods,Groceries
2024-10-06,-18.75,Chipotle,Dining
2024-10-10,-75.00,Electric Company,Bills
2024-10-18,-220.00,Costco,Shopping
2024-11-01,-1200.00,Rent,Bills
2024-11-02,-70.20,Kroger,Groceries
2024-11-07,-15.00,Spotify,Entertainment
2024-11-15,-33.60,Uber,Transport
2024-11-19,-145.00,Amazon,Shopping
